Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ221915.1		none				M	D	
PZ221917.1		none				M	D	
PZ221922.1		none				M	D	
PZ221927.1		none				M	D	
PZ234772.1		none				M	D	
PZ240487.1		none				M	D	
PZ240506.1		none				M	D	
PZ136053.1		none				M	D	
PZ136058.1		none				M	D	
PX631121.1		none				M	D	
PX285872.1		none				M	D	
PX285874.1		none				M	D	
PX563327.1		none				M	D	
PV784272.1		none				M	D	
PV784273.1		none				M	D	
PV784275.1		none				M	D	
PV784277.1		none				M	D	
PV784279.1		none				M	D	
PV784285.1		none				M	D	
PV784287.1		none				M	D	
PV784296.1		none				M	D	
PV784297.1		none				M	D	
PV784298.1		none				M	D	
PV784302.1		none				M	D	
PV784303.1		none				M	D	
PV784304.1		none				M	D	
PV784318.1		none				M	D	
PV784323.1		none				M	D	
PV784324.1		none				M	D	
PV784331.1		none				M	D	
PV784338.1		none				M	D	
PV784344.1		none				M	D	
PV784345.1		none				M	D	
PV784347.1		none				M	D	
PV750877.1		none				M	D	
PV750882.1		none				M	D	
PV750891.1		none				M	D	
PV750894.1		none				M	D	
PV765567.1		none				M	D	
PV765571.1		none				M	D	
PV635313.1		none				M	D	
PV275040.1		none				M	D	
PV275044.1		none				M	D	
PV275045.1		none				M	D	
PV275046.1		none				M	D	
PV275052.1		none				M	D	
PV275060.1		none				M	D	
PV275062.1		none				M	D	
PQ213436.1		none				M	D	
PQ213437.1		none				M	D	
PQ215525.1		none				M	D	
PQ215528.1		none				M	D	
PQ215538.1		none				M	D	
PQ215539.1		none				M	D	
PQ215540.1		none				M	D	
PQ215541.1		none				M	D	
PQ215542.1		none				M	D	
PQ215543.1		none				M	D	
PQ215544.1		none				M	D	
PQ215545.1		none				M	D	
PQ215546.1		none				M	D	
PQ215575.1		none				M	D	
PQ215578.1		none				M	D	
PQ215579.1		none				M	D	
PQ218468.1		none				M	D	
PQ273182.1		none				M	D	
PQ273184.1		none				M	D	
PQ273185.1		none				M	D	
PQ273187.1		none				M	D	
PQ273190.1		none				M	D	
PQ273194.1		none				M	D	
PQ273195.1		none				M	D	
PQ273196.1		none				M	D	
PQ273200.1		none				M	D	
PQ304610.1		none				M	D	
PQ304611.1		none				M	D	
PQ304614.1		none				M	D	
PQ304633.1		none				M	D	
PQ310235.1		none				M	D	
PQ310459.1		none				M	D	
PQ310518.1		none				M	D	
PQ310519.1		none				M	D	
PQ310520.1		none				M	D	
PQ310521.1		none				M	D	
PQ310522.1		none				M	D	
PQ373120.1		none				M	D	
PQ373121.1		none				M	D	
PQ373122.1		none				M	D	
PQ373123.1		none				M	D	
PQ373124.1		none				M	D	
PQ373126.1		none				M	D	
PQ373127.1		none				M	D	
PQ373131.1		none				M	D	
PQ373132.1		none				M	D	
PQ373133.1		none				M	D	
PQ373138.1		none				M	D	
PQ373139.1		none				M	D	
PQ373140.1		none				M	D	
PQ373142.1		none				M	D	
PQ100946.1		none				M	D	
PQ100947.1		none				M	D	
PQ100948.1		none				M	D	
PQ100949.1		none				M	D	
PP498986.1		none				M	D	
PP498987.1		none				M	D	
PP498988.1		none				M	D	
PP549876.1		none				M	D	
PP549877.1		none				M	D	
PP549878.1		none				M	D	
PP549879.1		none				M	D	
PP549880.1		none				M	D	
PP549881.1		none				M	D	
PP549882.1		none				M	D	
PP549883.1		none				M	D	
PP549884.1		none				M	D	
PP549885.1		none				M	D	
PP587392.1		none				M	D	
PP587393.1		none				M	D	
PP658552.1		none				M	D	
PP658553.1		none				M	D	
PP661667.1		none				M	D	
OR844370.1		none				M	D	
OR844371.1		none				M	D	
OR844372.1		none				M	D	
OR844373.1		none				M	D	
OR844374.1		none				M	D	
OR844375.1		none				M	D	
OR844376.1		none				M	D	
OR844377.1		none				M	D	
OR844378.1		none				M	D	
OR844379.1		none				M	D	
OR844380.1		none				M	D	
OR844381.1		none				M	D	
OR844382.1		none				M	D	
OR844383.1		none				M	D	
PP381824.1		none				M	D	
OR062612.1		none				M	D	
OR262325.1		none				M	D	
OR536466.1		none				M	D	
OR536467.1		none				M	D	
OR536468.1		none				M	D	
OR536469.1		none				M	D	
OR536470.1		none				M	D	
OR536472.1		none				M	D	
OR536473.1		none				M	D	
OR536475.1		none				M	D	
OR536476.1		none				M	D	
OR536477.1		none				M	D	
OR536478.1		none				M	D	
OR536479.1		none				M	D	
OR536480.1		none				M	D	
OR536481.1		none				M	D	
OR536482.1		none				M	D	
OR536483.1		none				M	D	
OR536484.1		none				M	D	
OR536485.1		none				M	D	
OR536486.1		none				M	D	
OR536487.1		none				M	D	
OR536488.1		none				M	D	
OR536489.1		none				M	D	
OR536490.1		none				M	D	
OR536491.1		none				M	D	
OR536492.1		none				M	D	
OQ940068.1		none				M	D	
OQ940069.1		none				M	D	
OQ940070.1		none				M	D	
OQ940071.1		none				M	D	
OQ940072.1		none				M	D	
OQ940073.1		none				M	D	
OQ940074.1		none				M	D	
OQ940075.1		none				M	D	
OQ940076.1		none				M	D	
OQ940077.1		none				M	D	
OQ940078.1		none				M	D	
OQ940079.1		none				M	D	
OQ940080.1		none				M	D	
OQ940081.1		none				M	D	
OQ940082.1		none				M	D	
OP901692.1		none				M	D	
OP901693.1		none				M	D	
OP901694.1		none				M	D	
OQ342793.1		none				M	D	
OP686903.1		none				M	D	
OP686904.1		none				M	D	
OP689557.1		none				M	D	
OP689558.1		none				M	D	
OP689689.1		none				M	D	
OP690425.1		none				M	D	
OP690426.1		none				M	D	
OP690427.1		none				M	D	
OP690505.1		none				M	D	
OP712196.1		none				M	D	
OP712197.1		none				M	D	
OP712198.1		none				M	D	
OP712199.1		none				M	D	
OP037976.1		none				M	D	
OP037977.1		none				M	D	
OP037978.1		none				M	D	
OP037979.1		none				M	D	
OP037980.1		none				M	D	
OP037981.1		none				M	D	
OP037982.1		none				M	D	
OP037983.1		none				M	D	
ON329737.1		none				M	D	
ON569431.1		none				M	D	
OK376253.1		none				M	D	
OK376254.1		none				M	D	
OK376255.1		none				M	D	
OK376256.1		none				M	D	
OK376258.1		none				M	D	
OK376259.1		none				M	D	
OK376260.1		none				M	D	
OK376261.1		none				M	D	
OK376262.1		none				M	D	
OK376263.1		none				M	D	
OK376264.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898506.1		none				M	D	
OL898507.1		none				M	D	
OL898508.1		none				M	D	
OL898509.1		none				M	D	
OL898510.1		none				M	D	
OL898511.1		none				M	D	
OL898512.1		none				M	D	
OL898513.1		none				M	D	
OL898514.1		none				M	D	
OL898515.1		none				M	D	
OL898516.1		none				M	D	
OL913975.1		none				M	D	
OL913976.1		none				M	D	
OL913977.1		none				M	D	
OL943799.1		none				M	D	
OL943800.1		none				M	D	
OL943801.1		none				M	D	
OL943802.1		none				M	D	
NC_039477.1		none				M	D	
NC_040876.1		none				M	D	
NC_044932.1		none				M	D	
MZ291631.1		none				M	D	
MZ312111.1		none				M	D	
MW981327.1		none				M	D	
MZ233536.1		none				M	D	
MZ268408.1		none				M	D	
MW661246.1		none				M	D	
MW661253.1		none				M	D	
MW661264.1		none				M	D	
MW661266.1		none				M	D	
MW661271.1		none				M	D	
MW661272.1		none				M	D	
MW661273.1		none				M	D	
MW661274.1		none				M	D	
MW661275.1		none				M	D	
MW661278.1		none				M	D	
MW661281.1		none				M	D	
MW661282.1		none				M	D	
MW661284.1		none				M	D	
MW243610.2		none				M	D	
MW305737.1		none				M	D	
MT712130.1		none				M	D	
MT712147.1		none				M	D	
MT712157.1		none				M	D	
MT720841.1		none				M	D	
MT724793.1		none				M	D	
MT725762.1		none				M	D	
MT726225.1		none				M	D	
MT729788.1		none				M	D	
MT729791.1		none				M	D	
MT731279.1		none				M	D	
MT731332.1		none				M	D	
MT738527.1		none				M	D	
MT755733.1		none				M	D	
MN853414.1		none				M	D	
MN897754.1		none				M	D	
MN897755.1		none				M	D	
MN897756.1		none				M	D	
MT026582.1		none				M	D	
MT028542.1		none				M	D	
MT029316.1		none				M	D	
MT031761.1		none				M	D	
MT031821.1		none				M	D	
MT032004.1		none				M	D	
MT232050.1		none				M	D	
MT238671.1		none				M	D	
MN400355.2		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MN525276.1		none				M	D	
MK752935.1		none				M	D	
MK752936.1		none				M	D	
MK752938.1		none				M	D	
MK753015.1		none				M	D	
MK753032.1		none				M	D	
MK762621.1		none				M	D	
MK762624.1		none				M	D	
MK762635.1		none				M	D	
MK762638.1		none				M	D	
MK764016.1		none				M	D	
MK764040.1		none				M	D	
MK773584.1		none				M	D	
MK789432.1		none				M	D	
MK789435.1		none				M	D	
MK934772.1		none				M	D	
MK629457.1		none				M	D	
MK641589.1		none				M	D	
MK483908.2		none				M	D	
MK483909.2		none				M	D	
MH979229.1		none				M	D	
MH979230.1		none				M	D	
MK282256.1		none				M	D	
MK282257.1		none				M	D	
MK282258.1		none				M	D	
MH413070.1		none				M	D	
MH671553.1		none				M	D	
MH218570.1		none				M	D	
MH218571.1		none				M	D	
MH218572.1		none				M	D	
MH218573.1		none				M	D	
MH218574.1		none				M	D	
MH218575.1		none				M	D	
MH218576.1		none				M	D	
MH218577.1		none				M	D	
MH218578.1		none				M	D	
MH218579.1		none				M	D	
MH218580.1		none				M	D	
MH218581.1		none				M	D	
MH218582.1		none				M	D	
MH218583.1		none				M	D	
MH218584.1		none				M	D	
MH218585.1		none				M	D	
MH218586.1		none				M	D	
MH218587.1		none				M	D	
MH218588.1		none				M	D	
MH218589.1		none				M	D	
MH218590.1		none				M	D	
MH218591.1		none				M	D	
MH218592.1		none				M	D	
MH218593.1		none				M	D	
MH218594.1		none				M	D	
MH218595.1		none				M	D	
MH218596.1		none				M	D	
MH218597.1		none				M	D	
MH218598.1		none				M	D	
MH218599.1		none				M	D	
MH218600.1		none				M	D	
MH218601.1		none				M	D	
MH218602.1		none				M	D	
MH218603.1		none				M	D	
MH218604.1		none				M	D	
MH218605.1		none				M	D	
MH218606.1		none				M	D	
MH218607.1		none				M	D	
MH218608.1		none				M	D	
MH218609.1		none				M	D	
MH218610.1		none				M	D	
MH218611.1		none				M	D	
MH218612.1		none				M	D	
MH218613.1		none				M	D	
MH218614.1		none				M	D	
MH218615.1		none				M	D	
MH218616.1		none				M	D	
MH218617.1		none				M	D	
MH218618.1		none				M	D	
MH218619.1		none				M	D	
MH218620.1		none				M	D	
MH218621.1		none				M	D	
MH218622.1		none				M	D	
MH218623.1		none				M	D	
MH218624.1		none				M	D	
MH218625.1		none				M	D	
MH218626.1		none				M	D	
MH218627.1		none				M	D	
MH218628.1		none				M	D	
MH218629.1		none				M	D	
MH218630.1		none				M	D	
MH218631.1		none				M	D	
MH218632.1		none				M	D	
MH218633.1		none				M	D	
MH218634.1		none				M	D	
MH218635.1		none				M	D	
MH218636.1		none				M	D	
MH218637.1		none				M	D	
MH218638.1		none				M	D	
MH218639.1		none				M	D	
MH218640.1		none				M	D	
MH218641.1		none				M	D	
MH218642.1		none				M	D	
MH218643.1		none				M	D	
MH218644.1		none				M	D	
MH218645.1		none				M	D	
MH218646.1		none				M	D	
MH218650.1		none				M	D	
MH218651.1		none				M	D	
MH218652.1		none				M	D	
MH218653.1		none				M	D	
MH218654.1		none				M	D	
MH218655.1		none				M	D	
MH218657.1		none				M	D	
MH218658.1		none				M	D	
MH218660.1		none				M	D	
MH218661.1		none				M	D	
MH218662.1		none				M	D	
MH218663.1		none				M	D	
MH218665.1		none				M	D	
MH218666.1		none				M	D	
MH218667.1		none				M	D	
MH218668.1		none				M	D	
MH218669.1		none				M	D	
MH218670.1		none				M	D	
MH218671.1		none				M	D	
MH218672.1		none				M	D	
MH218673.1		none				M	D	
MH218674.1		none				M	D	
MH218675.1		none				M	D	
MH218676.1		none				M	D	
MH218677.1		none				M	D	
MH218678.1		none				M	D	
MH218679.1		none				M	D	
MH218680.1		none				M	D	
MH218681.1		none				M	D	
MH218682.1		none				M	D	
MH218683.1		none				M	D	
MH218684.1		none				M	D	
MH218685.1		none				M	D	
MH218686.1		none				M	D	
MH218687.1		none				M	D	
MH218688.1		none				M	D	
MH218689.1		none				M	D	
MH218690.1		none				M	D	
MH218691.1		none				M	D	
MH218692.1		none				M	D	
MH218693.1		none				M	D	
MH218694.1		none				M	D	
MH218695.1		none				M	D	
MH218696.1		none				M	D	
MH218697.1		none				M	D	
MH218698.1		none				M	D	
MH218699.1		none				M	D	
MH218700.1		none				M	D	
MH218701.1		none				M	D	
MH218702.1		none				M	D	
MH218703.1		none				M	D	
MH218704.1		none				M	D	
MH218705.1		none				M	D	
MH218706.1		none				M	D	
MH218707.1		none				M	D	
MH218708.1		none				M	D	
MH218709.1		none				M	D	
MH218710.1		none				M	D	
MH218711.1		none				M	D	
MH218712.1		none				M	D	
MH218713.1		none				M	D	
MH218714.1		none				M	D	
MH218715.1		none				M	D	
MH218716.1		none				M	D	
MH218717.1		none				M	D	
MH218718.1		none				M	D	
MH218719.1		none				M	D	
MH218731.1		none				M	D	
MH218732.1		none				M	D	
MH218733.1		none				M	D	
MH218734.1		none				M	D	
MH218735.1		none				M	D	
MH218736.1		none				M	D	
MH218737.1		none				M	D	
MH218738.1		none				M	D	
MH321825.1		none				M	D	
MG892908.3		none				M	D	
MG892929.3		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG892974.3		none				M	D	
MG692610.1		none				M	D	
MG706448.1		none				M	D	
MG745985.1		none				M	D	
MG745986.1		none				M	D	
MG745987.1		none				M	D	
MG745988.1		none				M	D	
MG745989.1		none				M	D	
MG745990.1		none				M	D	
MG745991.1		none				M	D	
MG745992.1		none				M	D	
MG745993.1		none				M	D	
MG745994.1		none				M	D	
MG745995.1		none				M	D	
MG745996.1		none				M	D	
MG745997.1		none				M	D	
MG745998.1		none				M	D	
MG745999.1		none				M	D	
MG746000.1		none				M	D	
MG746001.1		none				M	D	
MG746002.1		none				M	D	
MG746003.1		none				M	D	
MG746004.1		none				M	D	
MG746005.1		none				M	D	
MG746006.1		none				M	D	
MG746007.1		none				M	D	
MG746008.1		none				M	D	
MG746009.1		none				M	D	
MG746010.1		none				M	D	
MG746011.1		none				M	D	
MG746012.1		none				M	D	
MG746013.1		none				M	D	
MG746014.1		none				M	D	
MG746015.1		none				M	D	
MG746016.1		none				M	D	
MG746017.1		none				M	D	
MG746018.1		none				M	D	
MG746019.1		none				M	D	
MG746020.1		none				M	D	
MG746021.1		none				M	D	
MG746022.1		none				M	D	
MG746023.1		none				M	D	
MG746024.1		none				M	D	
MG746025.1		none				M	D	
MG746026.1		none				M	D	
MG746027.1		none				M	D	
MG746028.1		none				M	D	
MG746029.1		none				M	D	
MG746030.1		none				M	D	
MG746031.1		none				M	D	
MG746032.1		none				M	D	
MG746033.1		none				M	D	
MG746034.1		none				M	D	
MG746035.1		none				M	D	
MG746036.1		none				M	D	
MG746037.1		none				M	D	
MG746038.1		none				M	D	
MG746039.1		none				M	D	
MG746040.1		none				M	D	
MG746041.1		none				M	D	
MG746042.1		none				M	D	
MG746043.1		none				M	D	
MG746044.1		none				M	D	
MG746045.1		none				M	D	
MG049692.1		none				M	D	
MG548737.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC868426.1		none				M	D	
LC868427.1		none				M	D	
LC868428.1		none				M	D	
LC868429.1		none				M	D	
LC868430.1		none				M	D	
LC868431.1		none				M	D	
LC868432.1		none				M	D	
LC868433.1		none				M	D	
LC868434.1		none				M	D	
LC868435.1		none				M	D	
LC868436.1		none				M	D	
LC868437.1		none				M	D	
LC868438.1		none				M	D	
LC918507.1		none				M	D	
LC918508.1		none				M	D	
LC918509.1		none				M	D	
LC918510.1		none				M	D	
LC918511.1		none				M	D	
LC918512.1		none				M	D	
LC918513.1		none				M	D	
LC918514.1		none				M	D	
LC918515.1		none				M	D	
LC918516.1		none				M	D	
LC918517.1		none				M	D	
LC918518.1		none				M	D	
LC918519.1		none				M	D	
LC918520.1		none				M	D	
LC918521.1		none				M	D	
LC918522.1		none				M	D	
LC918523.1		none				M	D	
LC918524.1		none				M	D	
LC919492.1		none				M	D	
LC769681.1		none				M	D	
LC769682.1		none				M	D	
LC769683.1		none				M	D	
LC769684.1		none				M	D	
LC769685.1		none				M	D	
LC769688.1		none				M	D	
LC769689.1		none				M	D	
LC769691.1		none				M	D	
LC769692.1		none				M	D	
LC769693.1		none				M	D	
LC769694.1		none				M	D	
LC769695.1		none				M	D	
LC769696.1		none				M	D	
LC769697.1		none				M	D	
LC769698.1		none				M	D	
LC769699.1		none				M	D	
LC769700.1		none				M	D	
LC769701.1		none				M	D	
LC769702.1		none				M	D	
LC769703.1		none				M	D	
LC769704.1		none				M	D	
LC769705.1		none				M	D	
LC769706.1		none				M	D	
LC769707.1		none				M	D	
LC769708.1		none				M	D	
LC769709.1		none				M	D	
LC769712.1		none				M	D	
LC769713.1		none				M	D	
LC769714.1		none				M	D	
LC769715.1		none				M	D	
LC777250.1		none				M	D	
LC342059.1		none				M	D	
LC369214.1		none				M	D	
LC369215.1		none				M	D	
LC369216.1		none				M	D	
LC369217.1		none				M	D	
LC369218.1		none				M	D	
LC369219.1		none				M	D	
LC369220.1		none				M	D	
LC369221.1		none				M	D	
LC369222.1		none				M	D	
LC369224.1		none				M	D	
LC369225.1		none				M	D	
LC369227.1		none				M	D	
LC369228.1		none				M	D	
LC369229.1		none				M	D	
LC369230.1		none				M	D	
LC369231.1		none				M	D	
LC369232.1		none				M	D	
LC369233.1		none				M	D	
LC369234.1		none				M	D	
LC369235.1		none				M	D	
LC369236.1		none				M	D	
LC369237.1		none				M	D	
LC369238.1		none				M	D	
LC369239.1		none				M	D	
LC369240.1		none				M	D	
LC369241.1		none				M	D	
LC369242.1		none				M	D	
LC369243.1		none				M	D	
LC369244.1		none				M	D	
LC369245.1		none				M	D	
LC369246.1		none				M	D	
LC369247.1		none				M	D	
LC369248.1		none				M	D	
LC369249.1		none				M	D	
LC369251.1		none				M	D	
LC369252.1		none				M	D	
LC369253.1		none				M	D	
LC369254.1		none				M	D	
LC369255.1		none				M	D	
LC369256.1		none				M	D	
LC369257.1		none				M	D	
LC369258.1		none				M	D	
KY905331.1		none				M	D	
KY496327.1		none				M	D	
KY210920.3		none				M	D	
KY210980.3		none				M	D	
KX586330.1		none				M	D	
KT779557.1		none				M	D	
KF895841.2		none				M	D	
KF920739.4		none				M	D	
KF944110.2		none				M	D	
KF944111.3		none				M	D	
HM596590.4		none				M	D	
GU292831.4		none				M	D	
PZ136054.1		none				M	D	
PZ136057.1		none				M	D	
PZ059667.1		none				M	D	
PZ059668.1		none				M	D	
PZ059669.1		none				M	D	
PZ059670.1		none				M	D	
PZ059671.1		none				M	D	
PZ059672.1		none				M	D	
PV902474.1		none				M	D	
PV843276.1		none				M	D	
PV806172.1		none				M	D	
PV806173.1		none				M	D	
PV806174.1		none				M	D	
PV765565.1		none				M	D	
PV765568.1		none				M	D	
PV765570.1		none				M	D	
PV746275.1		none				M	D	
PV746276.1		none				M	D	
PV746277.1		none				M	D	
PV746278.1		none				M	D	
PV655189.1		none				M	D	
PV636607.1		none				M	D	
PQ461161.1		none				M	D	
PV588655.1		none				M	D	
PV588656.1		none				M	D	
PV588657.1		none				M	D	
PV588658.1		none				M	D	
PV588796.1		none				M	D	
PV588797.1		none				M	D	
PV553834.1		none				M	D	
PP498989.1		none				M	D	
OR536443.1		none				M	D	
OR536445.1		none				M	D	
OR536446.1		none				M	D	
OR536448.1		none				M	D	
OR536449.1		none				M	D	
OR536451.1		none				M	D	
OR536452.1		none				M	D	
OR536453.1		none				M	D	
OR536455.1		none				M	D	
OR536456.1		none				M	D	
OR536461.1		none				M	D	
OR536463.1		none				M	D	
OR536471.1		none				M	D	
OR536474.1		none				M	D	
OR536495.1		none				M	D	
OR536496.1		none				M	D	
OR536497.1		none				M	D	
OR536498.1		none				M	D	
